esperimento	video	risoluzione	calcolo mm / px	risultato	frames video	video con tracciato rosso	coordinate file .txt	coordinate file .txt 1^ correzione	coordinate file .txt 2^ correzione	peso ragno gr	addome cm	cefalotorace cm	zampa cm	nota	umidità %	temperatura °C	speed mean	speed SD	speed median	total cum distance	smoothed speed mean	smoothed speed SD	smoothed speed median	total cum dist smoothed	acceleration mean	acceleration SD	speed median	smoothed acceleration mean	smoothed acceleration SD	smoothed speed median	number of activity periods
B_007_2_nov	https://drive.google.com/file/d/1mx6kiGUl9vAhov-xuytcHIc3nS0V3vo0/view?usp=sharing	1280x720	355/624,1	0,5688		https://drive.google.com/file/d/17RuIPRoLGhIw1PZIOK6sEKOkAO5pqSXF/view?usp=sharing	https://drive.google.com/file/d/1S-LNGum8XMXWmqprS6Or4CLOXJauPyOb/view?usp=sharing			0,30	1,00	0,55	2,21	manca seconda zampa ant sx	73,5	22,9	4.823445857	8.542099574	1.798703533	49908.19428	4.825572398	5.271702851	3.206061182	49906.06974	5.141446363	8.025993672	2.543750931	5.14354271	5.130372099	3.777176598	1189
B_007_12_ott		1280x720	355/658	0,5395		https://drive.google.com/file/d/1pXOmLZBqe2TYCEAeQXdu3IWfyjHl1oh9/view?usp=sharing	https://drive.google.com/file/d/1_LD3ChuJxrCmMXdk3rrEdVPihq87mdTQ/view?usp=sharing			0,34	1,11	0,50	2,53		70	23,6	7.060865591	10.60581325	3.814841085	41927.41988	7.061590892	6.29689759	5.119656819	41896.41876	7.532617904	10.50976224	4.349588055	7.53180398	6.610849368	5.88220851	929
B_008_15_ott	https://drive.google.com/drive/folders/1XAWRejF4QWKdP7iIeuIJRw6tbY56hILI?usp=sharing	1280x720	355/639	0,5556	https://drive.google.com/drive/folders/1I4ZZUnGh-R-25mdM2Steudx-KvNtbNkb?usp=sharing	https://drive.google.com/file/d/1kQqr_yAbnss4SFs0mMOjR7ccMXJljkA7/view?usp=sharing	https://drive.google.com/file/d/1f2IlomTkN-aBtOv6REEGA9wnsoTB6J05/view?usp=sharing			0,41	0,93	0,45	2,45		65	26,0	8.234052691	11.43838338	5.031171983	44192.16079	8.236935556	6.915153037	6.173802414	44166.44845	8.845854402	10.53082677	6.136802581	8.84599921	6.60424515	7.355458691	907
B_009_22_ott		1280x720	355/646	0,5495		https://drive.google.com/file/d/1jWjvwfsPh7Pcy_JEUN0cm0KwIKnWASKM/view?usp=sharing	https://drive.google.com/file/d/15j8UFT3fX89kb8FiOSmnLzLu4w-34_GL/view?usp=sharing			0,25	0,91	0,36	2,24		67	22,3	4.527522036	9.004696633	1.737671574	56494.41997	4.525232846	5.712549996	3.324164728	56443.22928	4.849647159	9.065012526	2.265646541	4.845720366	5.86843408	3.78593756	1351
B_009_31_ott		1280x720	355/641	0,5538		https://drive.google.com/file/d/1_Lz0j4IxZVREV49q0aDhFsOueRu-Y9MO/view?usp=sharing	https://drive.google.com/file/d/1bxn-q5wUpUi3z8fzy2TyAVhmY7XSaZ3f/view?usp=sharing			0,28	0,86	0,45	2,30		58	22,5	4.962631819	9.325590765	1.996754296	40668.76776	4.960222669	6.11986202	3.113776145	40624.22366	4.781006297	8.769100508	1.996754296	4.776525506	5.934117911	3.055111512	772
B_010_24_ott		1280x720	355/650	0,5462		https://drive.google.com/file/d/1flEBK-OiSdaqjO4QFAetxyPHCKc4M43n/view?usp=sharing	https://drive.google.com/file/d/1lsm3i0aRGKvTuGaHfXXBqmSZMKaEmJe_/view?usp=sharing	https://drive.google.com/file/d/1bwq9RDh9IEz4TyRbgtwb-hXWkHAN3xjK/view?usp=sharing		0,15	0,82	0,41	1,96	manca quarta zampa post dx	69	21,4	5.706610431	8.89006212	2.941377018	46417.56924	5.710120463	5.682510062	3.909404616	46417.56924	5.591175805	8.032941295	3.184865925	5.594615259	5.324380425	4.061594777	1083
B_010_31_ott		1280x720	355/630	0,5635		https://drive.google.com/file/d/1x5JIwm6WDY137hwYrF3jeW4wMWvcOavb/view?usp=sharing	https://drive.google.com/file/d/1u-icCD33tjcnlRiDy1qAlP_4Y3zwJkwR/view?usp=sharing	https://drive.google.com/file/d/1EiHdo9Gkn0UdUBF94VNSf8X7U9TSuhFF/view?usp=sharing		0,17	0,91	0,37	1,89	manca quarta zampa post dx	59,5	21,8	6.036297931	8.80240789	3.18763737	41203.76968	6.04072272	5.409811125	4.202933947	41203.76968	5.961513613	8.108682203	3.381	5.965884224	5.067743367	4.556363904	976
B_011_5_nov		1280x720	355/624	0,5685		https://drive.google.com/file/d/1mWyCviLvncNZclhMPAPrI3rx0y3AC-30/view?usp=sharing	https://drive.google.com/file/d/18YP7L2VcJnGBcAM2fIoKdjSKm0uddO7b/view?usp=sharing			0,14	0,86	0,42	2,14		55,5	23,6	6.130984119	10.04746722	2.898792593	44713.26718	6.134920866	6.46466829	4.250942681	44711.30327	5.884407878	9.826905453	3.061466193	5.888048314	6.438147081	4.349447908	867
B_011_23_ott		1280x720	355/655	0,5419		https://drive.google.com/file/d/1RqGk_kLH-kl7Mpp0plXxB_u1AInYCVL6/view?usp=sharing	https://drive.google.com/file/d/1XrfDRib14unPFxgn-yKRLpH7bxDyvigT/view?usp=sharing			0,21	1,98	0,46	2,14		67	22,3	6.315263349	9.038183739	3.469853024	66764.96413	6.316137387	5.676958184	4.681013901	66742.62376	6.172633854	7.811662008	3.945091549	6.172280447	4.928829829	5.189592561	1511
B_015_4_nov		1280x720	355/624,3	0,5686		https://drive.google.com/file/d/1mTGYr28MkjYjLYYJcUzXtPqbtfOYzr72/view?usp=sharing	https://drive.google.com/file/d/1GEfHOAs0y-dVOn6LusLqM64-K6WpFPFF/view?usp=sharing	https://drive.google.com/file/d/1gifM12hXsIGluT1xa45h8LFL8J2mrpSm/view?usp=sharing		0,19	0,88	0,42	2,21		57	21,7	5.626219556	10.97644351	2.050116455	68983.07798	5.625738026	6.932700506	3.489420404	68949.04525	5.770126912	11.743574	2.542856504	5.769875462	7.527081811	3.906679252	1468
B_015_25_ott	https://drive.google.com/file/d/1qQWES-M8ZvCx3NFYVnj7OJONWhSAY_54/view?usp=sharing	1280x720	355/643,2	0,5519		https://drive.google.com/file/d/1W6rP8gXQmfm6Nuj6480Gbnjcemd1V0hz/view?usp=sharing	https://drive.google.com/file/d/1W2tzGUp1As_WfhHrpHCCTZtFWmMcuopQ/view?usp=sharing	https://drive.google.com/file/d/1TNoe0o-GTNs6oo91EQ8JJfS7fa_PkSGZ/view?usp=sharing		0,16	0,84	0,47	2,00		68	21,4	5.299980971	9.961943909	2.275541995	51166.01629	5.275262252	5.972585766	3.596157663	50901.2463	5.169118411	10.02920498	2.341513395	5.119968931	5.887047162	3.666809004	1065
B_017_10_nov		1280x720	355/642,6	0,5524		https://drive.google.com/file/d/1G1UCq16lhXZB4ht-NxmGc9xx28ndFFEf/view?usp=sharing	https://drive.google.com/file/d/1nwHOz4AWauQyXnE3_H-CQzi3ivbfiZW3/view?usp=sharing	https://drive.google.com/file/d/1Q5XjjUV860tcVX8bqeHTHE9DRPb0JzrS/view?usp=sharing		0,32	1,00	0,53	2,22		57	20,0	5.695494183	10.72017996	2.277603548	57581.44619	5.694991697	6.34498025	3.434918086	57547.8911	5.776206829	11.27830826	2.762	5.776028832	6.769522158	3.754701217	1158
B_017_20_ott	https://drive.google.com/drive/folders/11Z12UhTLCC5FNmPHKriRhsJK8AtbN5d0?usp=sharing	1280x720	355/652	0,5444		https://drive.google.com/file/d/118NrQ2vu46vlVOmYaWgW1rMh1usr6p1Q/view?usp=sharing	https://drive.google.com/file/d/16qjxvVzlSiIxvLAYOWIYAYzycs-6SyzW/view?usp=sharing	https://drive.google.com/file/d/1S2_Cn3dSkBhmaPXD8kJBxxU6emw7Km30/view?usp=sharing		0,31	1,01	0,44	2,13		65,6	22,1	7.875762719	13.0255676	3.963291824	58107.37734	7.868318168	7.635547667	5.334209144	58013.10986	9.014361328	13.66060513	5.444	8.998631601	8.336532858	6.908334846	1202
B_018_20_ott	https://drive.google.com/drive/folders/13y_zm__H3M7-K9xpBFxtI-ep4dWcSsrt?usp=sharing	1280x720	355/643	0,5520		https://drive.google.com/file/d/1Ebjwac60aClLsRRq0nAmlKK5a07NKwSo/view?usp=sharing	https://drive.google.com/file/d/19RmzkFw3Uz3y_pUpiQEaH-rn350lG5EP/view?usp=sharing			0,23	0,90	0,40	2,04		68	22,3	6.387411397	9.88948847	3.491154537	42923.40459	6.389703132	6.242699788	4.39981279	42906.85653	6.6138777	9.69233453	4.203906754	6.615854755	6.033452202	5.359043977	963
B_020_7_nov		1280x720	355/632	0,5617		https://drive.google.com/file/d/142FhAMBWu3rpXD3K7bt0xOZpZ-eNiSG5/view?usp=sharing	https://drive.google.com/file/d/1sjb7DY10YtPEEDkpf5s1HlwoMZPf1-oP/view?usp=sharing			0,17	0,80	0,40	2,10		55	21,6	6.809970274	9.437323888	4.050476303	69924.77477	6.812476471	5.721166716	5.004460316	69916.44602	7.702639163	9.112981244	5.532103427	7.704912978	5.494550118	6.499955665	1684
B_020_22_ott		1280x720	355/652	0,5445		https://drive.google.com/file/d/1uMN1_E_GDdrQZ0cLRHHlqeoo0lhqoIw8/view?usp=sharing	https://drive.google.com/file/d/19yOB-qpzxZp7sEWz4eKm5-rh9hvdBuxX/view?usp=sharing			0,31	0,95	0,48	2,28		66	22,1	4.808686743	8.317610283	2.776416125	26678.59405	4.810890498	5.205987398	3.576882163	26666.76603	5.673398254	9.336495394	3.652617041	5.675423812	5.903185074	4.561966243	773
B_022_18_ott	https://drive.google.com/drive/folders/12xgVKFl5HBmQJX5i5CWu9cdo0yohgurc?usp=sharing	1280x720	355/633	0,5608		https://drive.google.com/file/d/1fdqjg1EahzrCXy7imU6Qkv1WldoQy4xi/view?usp=sharing	https://drive.google.com/file/d/1bDLfGIqCa3UrgM6z2T6L9aMwlDHaZVRG/view?usp=sharing			0,20	1,12	0,40	2,13	manca terza zampa centrale dx	65	22,6	7.127937971	10.54440678	4.043986311	48220.50037	7.133210114	6.495046093	5.224984427	48220.50037	7.869235238	10.41403843	5.170320532	7.87505654	6.457516566	6.47207343	1127
B_022_1_nov		1280x720	355/623,1	0,5697		https://drive.google.com/file/d/1W-KM4xVBLhviSeQgaq36sjUwAi_ktUHK/view?usp=sharing	https://drive.google.com/file/d/1SDBZsIIvhKZTwWZhlCJToo_H_Psbkkpv/view?usp=sharing			0,20	0,86	0,48	2,36	manca terza zampa centrale dx	60	22,0	5.954204105	8.264420183	3.4182	53510.43229	5.954393087	5.193745783	4.19827978	53482.35871	5.753176807	7.189775313	3.603099166	5.751560818	4.590416344	4.444244891	1284
B_024_3_ott	https://drive.google.com/drive/folders/1jMhOdLgUxEgxRoITaOlVwRI_R8M5FJQA?usp=sharing	1280x720	355/625	0,568		https://drive.google.com/file/d/1oJSkW7oH-jkRnwUtgHuW3lroBQdclBf8/view?usp=sharing	https://drive.google.com/file/d/1qwFC8diz6F1ZUly2js6phKb9JGwPuVkW/view?usp=sharing	https://drive.google.com/file/d/1VE-nKwc0-EWtuzVs-LjL7OQI5Rvh7fZv/view?usp=sharing		0,26	1,10	0,47	2,31		55	25,7	6.712745721	12.38838533	3.213093214	56984.49842	6.716701842	7.813155637	5.195265265	56984.49842	7.936652786	12.52578519	4.436221816	7.941330761	8.505502422	6.717829835	1159
B_024_13_set	https://drive.google.com/drive/folders/1FMoEz6N-xbzLpHiGKiAKrCvuLFHLY0Uz?usp=sharing	1280x720	355/641	0,5538		https://drive.google.com/file/d/1jLCNrvYebxKlnYyfbTSV2j8wRqbqkqIZ/view?usp=sharing	https://drive.google.com/file/d/1UJsaJSJi3IrX4lPajeP-KoAiawKNAmdw/view?usp=sharing			0,30	1,12	0,56	2,73		51	25,7	9.349044657	14.73246274	5.224538751	54981.73163	9.356731239	8.287959133	6.517621701	54980.15276	10.4951793	14.90877471	6.458362319	10.50391306	9.236609244	7.697878121	1063
B_025_11_set		1280x720	355/648,2	0,5477		https://drive.google.com/file/d/1BTvyARAxkB-EvIvGvGgqss9Ewlj9Ofby/view?usp=sharing	https://drive.google.com/file/d/1rACB-CY9JH3yJun6cvol1pGAenXy8vXs/view?usp=sharing			0,18	0,97	0,42	2,22		58	25,2	6.229994957	10.27162468	3.331529038	16683.92649	6.228593106	6.154103118	4.124211617	16649.02937	6.241604163	9.645755527	3.193612353	6.235427191	6.109235416	4.133435507	398
B_026_19_ott	https://drive.google.com/drive/folders/1iiukFpS3518EVNVkWfHaWAlQdH3uqTLi?usp=sharing	1280x720	355/655,1	0,5419		https://drive.google.com/file/d/1Xs1iBQcxqbGHMfKowgDTPE27QN6KAShR/view?usp=sharing	https://drive.google.com/file/d/1CtqpKDTW2sNbw2t1garl3_KxfWhTB9NC/view?usp=sharing			0,52	1,14	0,56	3,28		67	21,8	4.97656558	9.303710263	2.423450474	51855.81335	4.978954714	5.785200091	3.313611014	51855.81335	5.726540653	9.965004293	3.427276528	5.729233134	6.081796055	4.366746271	1287
B_026_2_nov		1280x720	355/626,2	0,5669		https://drive.google.com/file/d/1tvvO2O056ZK3f06bJ1_mMTStALjQrbhg/view?usp=sharing	https://drive.google.com/file/d/1Xb5GsR3R0PtmlU7pCZOuPMGa7GNC-_pU/view?usp=sharing			o,35	1,00	0,65	2,96		57	20,7	4.972368436	7.69678909	2.405153006	44428.11198	4.973522006	4.888056018	3.243295599	44413.55152	4.957361539	6.839820054	2.8345	4.957519318	4.274472852	3.767011946	1091
B_029_24_ott		1280x720	355/645,2	0,5502		https://drive.google.com/file/d/1-S99gcx7R4aLYj9DtMPCmdUo40JiRx2o/view?usp=sharing	https://drive.google.com/file/d/1024-sJafDgo--HfPVAQHwc4vgzXhh_Qu/view?usp=sharing	https://drive.google.com/file/d/1rm2D_0UTAHjlSxUF91fYpEj48Ml4__mh/view?usp=sharing		0,34	1,12	0,49	2,72	manca quarta zampa post sx	69,5	21,5	4.491239223	8.46382774	1.739885169	58736.42656	4.488083538	5.481905273	2.820112711	58672.71609	4.878426661	7.87933559	2.334300906	4.874399779	5.321784427	5.321784427	1465
B_029_30_ott		1280x720	355/612	0,5801		https://drive.google.com/file/d/19KdByMl0dXA2DV5BkIeRoARijiIi8N0Y/view?usp=sharing	https://drive.google.com/file/d/16FocoHpGIlOhI79ntA_tLaJZTcJ2CwjY/view?usp=sharing			0,39	1,13	0,47	2,44	manca quarta zampa post sx	58,5	22,6	4.783378437	8.099051229	2.091580295	46245.70273	4.77769688	5.11218667	3.189640803	46167.10869	5.232739938	8.055525177	8.055525177	5.226649655	5.068714041	3.832170582	1128
B_032_29_ott		1280x720	355/651	0,5453		https://drive.google.com/file/d/1AZ0soHo7WUhw00lkupnJ-3xfRFztHFcX/view?usp=sharing	https://drive.google.com/file/d/1fvuaPPa5uhxHbQdK-vPsm-2ehX965U0-/view?usp=sharing			0,20	0,92	0,50	2,4		62	22,0	6.65901302	9.115025045	3.855853278	43942.82692	6.663679954	5.709821001	4.685549607	43940.45434	6.529221639	8.333749398	3.969843923	6.533597383	5.25609709	4.975238648	1102
B_032_21_ott	https://drive.google.com/drive/folders/1qy6iAjB-XjeAo1UEByMfD5h09pqnv8Ml?usp=sharing	1280x720	355/665	0,5338		https://drive.google.com/file/d/1QkiZt8W3QgZDzf8FtXoUbdS5Xh6mVKyh/view?usp=sharing	https://drive.google.com/file/d/1JWgM0AaC9LqxHbujmzsPx6pzDeouKmH3/view?usp=sharing			0,33	1,01	0,44	2,20		67	23,01	5.372413059	9.244434255	2.200913783	54073.33744	5.375006064	6.186509903	4.591281524	54072.56101	5.8880948	9.072772719	3.112562121	5.890857555	6.290305383	5.541315585	1253
B_034_15_set	https://drive.google.com/drive/folders/17k7MjsTBw7Qn05h2-qkUwk7fExbc1pKr?usp=sharing	1280x720	355/636	0,5581		https://drive.google.com/file/d/17MKmsZumgkgC2--2BjcOpVWXpEMoeUy3/view?usp=sharing	https://drive.google.com/file/d/13JeoWTSzpJRq4t0vmfoDSn0LYvwEbk9u/view?usp=sharing			0,33	1,00	0,50	2,27		60	25,7	7.491969775	12.02461786	4.024516334	35144.83022	7.476739577	7.415718994	5.630575208	35036.00166	8.022949387	13.57521861	5.145427762	8.00095849	8.273053439	6.478824023	779
B_038_21_ott		1280x720	355/651	0,5453		https://drive.google.com/file/d/1bbaROxtvgAtxxwJVDNT6BMj9L8o4vgF7/view?usp=sharing	https://drive.google.com/file/d/1vzs5b75NmOxvTmO9fyp1_SyN7uodmoPq/view?usp=sharing	https://drive.google.com/file/d/1eoAs7T7yia_-t_X0qE2fftWSBIsRTaNw/view?usp=sharing		0,26	1,01	0,43	2,28		66	22,5	5.758531607	8.981145225	2.780495341	49632.78392	5.756722043	5.569383594	3.954966741	49588.99856	6.362216423	8.433876322	3.969843923	6.360341257	5.064452062	5.248721188	1336
B_038_8_nov		1280x720	355/643	0,5521		https://drive.google.com/file/d/1ieFX7ew6EOrWaiIJJjjnHofgFS7-LGWO/view?usp=sharing	https://drive.google.com/file/d/1E3WxemCuSVrv52qDCMkqfP5_8G8Xz3HD/view?usp=sharing			0,19	0,88	0,46	2,06		54	20,4	5.469016125	7.401583744	3.219268541	60738.89309	5.470219528	4.317028074	3.997133004	60724.90698	6.213561224	7.476755082	4.4168	6.21494134	4.2680157	5.331338373	1757
B_041_10_set		1280x720	355/641	0,5538		https://drive.google.com/file/d/1bPvXnGtqzOmgvElabEPFVPa1KrsYGB4H/view?usp=sharing	https://drive.google.com/file/d/1Kd3fW2rKJumqJ4FcPlOFuXsZxoHwJLHA/view?usp=sharing			0,29	0,93	0,50	2,62		48	26,0	9.666351683	12.87122986	5.96460854	44320.22247	44320.22247	44320.22247	44320.22247	44320.22247	10.10450235	12.73439104	6.7599905	10.10842178	7.576893803	8.163978101	847
B_042_23_ott		1280x720	355/653,1	0,5436		https://drive.google.com/file/d/1c1arVxKE-cQckKrcNXpSkKz8iszP3s3q/view?usp=sharing	https://drive.google.com/file/d/1QJTZyO4mQyL4F5A2V2w60a_ghxalydyG/view?usp=sharing			0,19	0,93	0,45	2,28		66	22,0	5.748957349	8.810606634	3.16970545	42461.79898	5.747423949	5.631765898	4.148290754	42421.73616	5.452858985	7.959959301	3.306589711	5.450015173	5.014076908	4.445607446	1027
B_042_11_nov		1280x720	355/644,4	0,5509		https://drive.google.com/file/d/1fb4owSP7UXpx4g7IDXuWhh7MDUctbLJz/view?usp=sharing	https://drive.google.com/file/d/1k6RxSobSaxfC-h4jynlGw8tASE8X2ny8/view?usp=sharing			0,22	0,91	0,40	2,00		58,5	20,0	1.851629233	3.953876184	0	34549.54986	1.851061029	2.847865028	0	34529.69243	2.017862112	3.975664209	0	2.017275985	2.855477738	0	1118
B_043_25_ott		1280x720	355/643,1	0,5520		https://drive.google.com/file/d/1t59iax-CoWW-BNj_-X2YSl1U93LvKvy1/view?usp=sharing	https://drive.google.com/file/d/1oUPZul6IAqWzoaUcNEpu4oO-9EUAusx2/view?usp=sharing			0,16	0,80	0,20	1,70		68	21,4	4.550492777	7.988734198	1.990264304	55242.98231	4.552259689	5.173992072	2.773335816	55241.67133	4.57015914	7.003373569	2.341937659	4.571812877	4.714545276	3.148072686	1274
B_043_30_ott		1280x720	355/627	0,5662		https://drive.google.com/file/d/1h9Vgz9CrU_uiCX30D_4ETYftoqcE9wqi/view?usp=sharing	https://drive.google.com/file/d/1lbADduyHkxVCfxfMey1TwPIhzzybaMI9/view?usp=sharing			0,18	0,85	0,40	2,27	manca quarta zampa post dx	59,5	22,0	4.830360778	8.24440503	2.041463132	55056.45214	4.832435479	5.229134372	2.888007658	55055.93741	5.018155261	7.763774415	2.402183157	5.020312569	4.899396408	3.528752407	1320
B_044_5_nov		1280x720	355/628,3	0,5650		https://drive.google.com/file/d/1cNoLRTjAzEGh7db66ChldbD_C4zIIe39/view?usp=sharing	https://drive.google.com/file/d/1QtvAeCvRlJgRzdYZzTxRvr6BXwhdFwG6/view?usp=sharing			0,26	0,95	0,46	2,24		56,5	22,1	6.297943936	10.2765702	3.042618116	49149.15448	6.301712352	6.114987909	3.977186335	49147.05463	6.328482708	9.06796944	3.43676083	6.332222848	5.615188643	4.507615606	1181
B_044_26_ott		1280x720	355/642,2	0,5528		https://drive.google.com/file/d/1YyZ6kZwS8QA81SXVAb0BUfC-ORi96Pml/view?usp=sharing	https://drive.google.com/file/d/1BVopXgdaef9B3eCwt2es7sWF__6rW6J8/view?usp=sharing			0,21	0,96	0,45	2,24		67,5	21,9	6.109390159	9.704353952	3.127109029	57080.03226	6.11045513	5.783105345	4.07838484	57059.43	6.083607966	8.945403013	3.3168	6.082723603	5.598906876	4.308975192	1233
