esperimento	video	risoluzione	calcolo mm / px	risultato	frames video	video con tracciato rosso	coordinate file .txt	coordinate file .txt 1^ correzione	coordinate file .txt 2^ correzione	peso ragno gr	addome cm	cefalotorace cm	zampa cm	nota	umidità %	temperatura °C	speed mean	speed SD	speed median	total cum distance	smoothed speed mean	smoothed speed SD	smoothed speed median	total cum dist smoothed	acceleration mean	acceleration SD	speed median	smoothed acceleration mean	smoothed acceleration SD	smoothed speed median	number of activity periods
A_012_19_set		1280x720	355/649	0,547		https://drive.google.com/file/d/1E95QJMpKYMsjVOospdlDkSzeHabYbXP6/view?usp=sharing	https://drive.google.com/file/d/1jDLiSWJKMrjQ3sleG-1SLdlH0qsdavyL/view?usp=sharing			0,25	1,06	0,38	1,82		67	26,0	0.769165157	4.475448637	0	19819.0786	0.7692623229	3.363381319	0	19817.73596	0.8067381337	4.298735932	0	0.8068271534	3.25195846	0	360
A_012_30_ago		1280x720	355/674,2	0,5265		https://drive.google.com/file/d/1sVEsvG24kb7Us7HIFZSzJYhwFuc8yUnx/view?usp=sharing	https://drive.google.com/file/d/1Ln5JJRAa6tU1ldIFJItcpPVYy_bXZf1C/view?usp=sharing	https://drive.google.com/file/d/1HoNUtSOP0QKHoWNqYBF27ix4v-DHCJY2/view?usp=sharing		0,17	1,02	0,42	1,91		67	27,8	5.983956307	10.04679682	2.6325	24372.65404	5.969110491	6.739775543	3.651375337	24282.34148	6.13086244	9.332145869	3.069996173	6.116413556	6.383827029	4.345040481	475
A_016_5_set	https://drive.google.com/drive/folders/1ODBHKIG7tnwj_O2POdkTAxoT-E8Vzpy8?usp=sharing	1280x720	355/657	0,5403		https://drive.google.com/file/d/1ZBcbzBb9dVT_sZ9vyOY97xgmymJtxWK8/view?usp=sharing	https://drive.google.com/file/d/11K4n-bOcng2ShhyzmfFS-XEyI_kNJaVV/view?usp=sharing			0,38	1,10	0,63	2,92		52	25,8	10.54286701	13.62247726	6.506073551	55581.99485	10.55261072	7.506300089	7.695749234	55580.60065	11.87087821	13.38701217	8.1045	11.88179459	7.76675319	9.565383881	985
A_016_21_set		1280x720	355/633	0,5608		https://drive.google.com/file/d/1rS9LiLfxbKXCdHihQCw25pm-G0HF5T-m/view?usp=sharing	https://drive.google.com/file/d/1-bMlVuvCbUlAqLSk0XOs1TFsajfSFS4R/view?usp=sharing			0,80	1,56	0,53	2,53		61	23,9	4.366754512	7.30390547	2.021993155	16672.26873	4.347547328	4.503490858	4.125858048	16577.19796	5.016200834	7.601892672	2.859530143	4.997700448	4.593887915	4.864051521	503
A_019_16_set	https://drive.google.com/drive/folders/1y_wOf1nquLqkKk4wSPr2A0uQ8fRwYUMI?usp=sharing	1280x720	355/654	0,5428		https://drive.google.com/file/d/1Ev5SXGhPFLOzFiQsc_YnQixzgGiPVYDx/view?usp=sharing	https://drive.google.com/file/d/1S8yxkHWpWJw3ykvIzUGzXm35oSSKtHYt/view?usp=sharing			0,56	1,20	0,58	2,62		60	26,5	4.06175073	8.852128546	0	54886.43761	4.063254191	6.361555088	0	54886.43761	4.382900685	8.570038275	0	4.384523141	6.406263398	0	940
A_022_18_ott		1280x720	355/635,3	0,5587		https://drive.google.com/file/d/15j8bX1RSOVvh5vI01Uj2VrB84qfxuxdX/view?usp=sharing	https://drive.google.com/file/d/1uM8uaX3mFaMmpI2mIFliETtwpS38IA69/view?usp=sharing			0,44	1,15	0,51	2,89		65	22,4	5.73109994	10.06234435	2.370363352	63615.20933	5.729862797	5.996731326	4.443417184	63572.82773	6.031384202	10.1940846	3.008691578	6.028639155	6.155254394	4.919103108	1440
A_022_31_ott		1280x720	355/622	0,5707		https://drive.google.com/file/d/1lcCsT5_3h6OMuVvUlyA1UU1Tu_gCDByE/view?usp=sharing	https://drive.google.com/file/d/1rTpGimlE4FbOPi_dShdd2y8BHIqIW-zM/view?usp=sharing			0,32	0,96	0,42	2,83		58,5	21,8	6.384233371	9.668408548	3.471432576	49573.57213	6.383270924	5.85696045	4.969222841	49534.36396	6.43981087	9.811580083	3.654263002	6.439755787	6.055861054	5.202499551	1096
A_030_8_set		1280x720	355/648	0,5478		https://drive.google.com/file/d/1RmZDaX2ZxPp9PG_ooonZhEN-_Yg-46vc/view?usp=sharing	https://drive.google.com/file/d/18_now2-KSempquDDUs5r9yN8LwRBzuRR/view?usp=sharing			0,29	2,08	0,46	2,22		42	26,2	9.380830341	14.40516659	4.9302	57663.9641	9.388312912	8.582521632	6.043771655	57663.0179	10.83062275	14.69362255	6.12459019	10.83936806	9.347909187	7.717326593	1053
A_030_26_set		1280x720	355/643,2	0,5513		https://drive.google.com/file/d/1PjOEc2W9Mjl3rOwZ2Rl04gWVmYcc6qWP/view?usp=sharing	https://drive.google.com/file/d/1yzhued1p1Gqt1bgQiibMEMC1vOVISdAc/view?usp=sharing			0,46	1,22	0,47	2,44	add dopo deposizione cocoon	66,5	24,2	5.624026702	10.70547201	1.987740418	62589.79316	5.626505022	7.247937082	3.568565635	62589.24186	6.188581872	10.81689644	2.7565	6.191286752	7.566494901	4.236585205	1132
A_031_21_set		1280x720	355/648	0,5478		https://drive.google.com/file/d/1TY4WQUnLnTxwCLYO6SJPj4GDXtkBdOhA/view?usp=sharing	https://drive.google.com/file/d/1MizdLEf-i0OCc4oNU5M3OJhhtrxwc2Cj/view?usp=sharing			0,84	1,33	0,73	3,17		62	25,7	8.633701599	12.19585884	4.712353781	46147.13505	8.641597747	7.254812414	6.014396495	46146.13197	9.022485083	11.70332071	5.409073815	9.030681514	7.206354642	6.903065831	813
